District,Borewell_ID,Borewell_Depth_ft,Water_Table_Depth_ft,Pump_Age_years,Daily_Usage_hours,Soil_Type,Region_Type,Annual_Rainfall_mm,Maintenance_Frequency_per_year,Motor_Temperature_C,Vibration_Level_mms,Voltage_Fluctuation_pct,Water_Yield_LPH,Casing_Pipe_Age_years,Failure_Risk_Score,Failure_Risk_Category,Failure_Within_6Months
Kakinada,BW-KAK-00492,449.6,35.2,0.9,4.5,Sandy Clay,Coastal Andhra,625.0,2,50.3,0.1,7.5,2380,1.7,27.4,Low,1
Kakinada,BW-KAK-00493,341.7,52.4,19.8,15.4,Sandy Clay,Coastal Andhra,638.5,4,72.6,9.46,1.1,2759,18.2,100.0,High,1
Kakinada,BW-KAK-00494,178.2,40.7,3.3,8.8,Sandy Loam,Coastal Andhra,571.5,3,56.0,3.21,2.7,2290,7.2,42.5,Medium,0
Kakinada,BW-KAK-00495,226.3,26.2,8.2,3.1,Sandy Clay,Coastal Andhra,656.3,3,50.2,5.62,4.7,2616,7.6,52.2,Medium,0
Kakinada,BW-KAK-00496,274.8,23.3,0.7,9.3,Sandy Clay,Coastal Andhra,548.3,1,52.4,0.1,3.5,3013,0,27.1,Low,0
Kakinada,BW-KAK-00497,341.1,37.5,0.8,6.9,Sandy Loam,Coastal Andhra,381.5,1,52.5,2.36,13.4,2873,0,35.7,Medium,0
Kakinada,BW-KAK-00498,78.9,28.9,7.9,6.1,Sandy Clay,Coastal Andhra,686.6,1,49.7,2.49,5.1,2829,8.4,49.1,Medium,1
Kakinada,BW-KAK-00499,282.9,45.6,1.8,8.0,Sandy Loam,Coastal Andhra,604.7,4,58.5,1.37,6.7,3095,2.3,29.7,Low,0
Kakinada,BW-KAK-00500,366.0,18.5,5.2,7.3,Sandy Clay,Coastal Andhra,755.9,1,51.1,1.08,2.7,2661,3.9,33.0,Low,0
Kakinada,BW-KAK-00501,446.2,33.6,17.2,6.2,Sandy Clay,Coastal Andhra,768.7,2,69.8,6.68,8.9,2933,17.2,100.0,High,1
Kakinada,BW-KAK-00502,276.3,29.0,7.0,7.8,Sandy Loam,Coastal Andhra,864.1,1,66.5,3.26,12.7,3060,4.9,80.5,High,1
Kakinada,BW-KAK-00503,431.0,27.1,5.0,11.9,Sandy Loam,Coastal Andhra,601.5,1,53.7,1.93,5.3,2339,2.4,60.0,Medium,1
Kakinada,BW-KAK-00504,238.8,40.8,7.0,11.2,Sandy Loam,Coastal Andhra,727.0,1,60.4,4.04,5.9,3055,8.9,65.4,High,1
Kakinada,BW-KAK-00505,329.0,31.6,14.6,10.3,Sandy Clay,Coastal Andhra,687.2,4,77.0,3.52,9.3,2751,16.0,100.0,High,1
Kakinada,BW-KAK-00506,281.4,28.4,5.7,9.0,Sandy Loam,Coastal Andhra,471.0,2,59.9,1.94,5.9,3133,5.0,59.6,Medium,1
Kakinada,BW-KAK-00507,358.7,30.9,2.3,5.7,Sandy Loam,Coastal Andhra,439.1,6,46.9,2.34,10.2,2954,0,20.4,Low,0
Kakinada,BW-KAK-00508,320.5,41.3,1.8,11.3,Sandy Loam,Coastal Andhra,869.1,0,63.8,2.05,10.7,2718,0,59.8,Medium,1
Kakinada,BW-KAK-00509,330.4,20.4,0.5,1.8,Sandy Loam,Coastal Andhra,722.5,3,54.9,3.55,13.0,3044,3.7,36.5,Medium,0
Kakinada,BW-KAK-00510,318.9,20.8,1.4,1.7,Sandy Loam,Coastal Andhra,847.0,2,58.8,0.45,8.8,2591,0.8,24.4,Low,0
Kakinada,BW-KAK-00511,298.8,54.6,2.0,7.3,Sandy Loam,Coastal Andhra,608.3,0,54.6,1.26,7.5,2873,0.6,41.2,Medium,0
Kakinada,BW-KAK-00512,110.4,34.3,2.9,8.5,Sandy Loam,Coastal Andhra,762.0,3,62.2,1.45,6.3,2615,0.9,43.2,Medium,1
Kakinada,BW-KAK-00513,131.8,30.5,0.2,2.2,Sandy Clay,Coastal Andhra,721.6,4,44.0,0.65,0.9,2969,2.9,8.7,Low,0
Kakinada,BW-KAK-00514,292.7,7.1,1.8,8.0,Sandy Loam,Coastal Andhra,671.9,0,57.7,0.1,9.9,3286,0.8,39.4,Medium,0
Kakinada,BW-KAK-00515,373.0,39.2,1.4,1.8,Sandy Clay,Coastal Andhra,600.2,2,44.1,3.4,3.9,2716,0.6,17.2,Low,0
Kakinada,BW-KAK-00516,295.0,41.6,2.0,2.3,Sandy Clay,Coastal Andhra,543.7,3,48.4,2.58,6.2,2731,4.4,27.7,Low,0
Kakinada,BW-KAK-00517,457.3,16.4,2.4,6.3,Sandy Loam,Coastal Andhra,623.9,7,61.2,3.09,10.0,2853,7.3,59.4,Medium,1
Kakinada,BW-KAK-00518,419.2,35.1,6.5,1.9,Sandy Clay,Coastal Andhra,636.4,2,53.7,4.79,10.3,2429,6.1,48.3,Medium,0
Kakinada,BW-KAK-00519,484.5,49.1,4.1,4.6,Sandy Clay,Coastal Andhra,654.0,1,51.5,4.12,10.6,2809,4.1,57.1,Medium,0
Kakinada,BW-KAK-00520,275.7,36.1,10.3,8.8,Sandy Clay,Coastal Andhra,717.3,1,58.6,3.91,6.2,3035,9.8,74.5,High,1
Kakinada,BW-KAK-00521,275.9,32.8,3.1,5.8,Sandy Clay,Coastal Andhra,721.0,3,57.1,2.8,15.3,2663,3.8,61.6,Medium,0
Kakinada,BW-KAK-00522,209.8,32.9,7.0,12.1,Sandy Clay,Coastal Andhra,595.7,2,63.4,1.52,7.7,3000,7.8,78.6,High,1
Kakinada,BW-KAK-00523,269.8,40.1,2.9,13.1,Sandy Clay,Coastal Andhra,624.8,0,56.8,3.35,11.1,3330,2.6,64.1,Medium,1
Kakinada,BW-KAK-00524,388.1,41.6,7.3,8.0,Sandy Clay,Coastal Andhra,616.0,2,54.1,4.43,7.7,3037,9.0,61.4,Medium,1
Kakinada,BW-KAK-00525,231.2,27.6,8.9,4.8,Sandy Clay,Coastal Andhra,508.7,4,55.7,3.33,4.1,2751,8.6,44.8,Medium,0
Kakinada,BW-KAK-00526,223.1,44.6,2.5,2.6,Sandy Clay,Coastal Andhra,616.6,0,51.1,2.12,4.9,2930,3.2,46.3,Medium,0
Kakinada,BW-KAK-00527,229.2,21.9,4.3,14.8,Sandy Clay,Coastal Andhra,630.3,6,58.2,4.08,1.0,2619,7.9,57.7,Medium,1
Kakinada,BW-KAK-00528,323.2,26.9,2.6,4.1,Sandy Loam,Coastal Andhra,574.3,3,60.1,2.61,12.7,2831,1.0,41.3,Medium,0
Kakinada,BW-KAK-00529,246.8,22.6,17.1,10.0,Sandy Clay,Coastal Andhra,540.4,4,74.2,5.61,14.0,3319,15.6,100.0,High,1
Kakinada,BW-KAK-00530,341.4,36.6,0.4,10.7,Sandy Clay,Coastal Andhra,736.2,1,56.5,1.67,6.6,2903,1.1,40.1,Medium,0
Kakinada,BW-KAK-00531,300.2,43.1,3.3,5.4,Sandy Loam,Coastal Andhra,559.1,4,54.9,1.85,10.3,2446,2.1,46.3,Medium,0
Kakinada,BW-KAK-00532,133.9,38.2,2.8,8.3,Sandy Loam,Coastal Andhra,710.7,2,52.7,3.62,8.3,2545,4.9,33.1,Low,1
Kakinada,BW-KAK-00533,366.4,23.8,4.9,6.4,Sandy Loam,Coastal Andhra,466.1,1,51.8,2.58,8.6,3010,3.2,52.1,Medium,1
Kakinada,BW-KAK-00534,271.5,26.7,5.5,2.9,Sandy Clay,Coastal Andhra,727.8,4,59.1,2.71,6.1,2725,5.9,48.1,Medium,0
Kakinada,BW-KAK-00535,179.6,24.7,2.1,10.3,Sandy Clay,Coastal Andhra,536.1,0,56.1,1.18,10.2,2575,0.3,36.7,Medium,1
Kakinada,BW-KAK-00536,169.8,23.4,3.6,9.1,Sandy Clay,Coastal Andhra,748.5,2,51.5,3.33,6.8,2860,1.6,51.2,Medium,0
Kakinada,BW-KAK-00537,363.5,33.1,2.7,6.9,Sandy Loam,Coastal Andhra,591.5,4,59.1,0.81,10.5,2741,6.5,32.5,Low,1
Kakinada,BW-KAK-00538,229.4,24.4,6.2,1.0,Sandy Clay,Coastal Andhra,841.8,2,57.6,3.19,8.5,2760,5.4,39.8,Medium,1
Kakinada,BW-KAK-00539,341.6,20.6,1.0,15.2,Sandy Clay,Coastal Andhra,745.6,0,60.0,0.34,13.9,2966,4.5,69.5,High,1
East Godavari,BW-EAS-00540,191.6,84.4,16.8,8.7,Sandy Loam,Coastal Andhra,689.6,2,62.0,4.72,6.4,3037,15.7,100.0,High,1
East Godavari,BW-EAS-00541,349.9,66.5,2.5,1.6,Sandy Loam,Coastal Andhra,640.9,1,54.5,3.13,7.8,2991,1.6,44.4,Medium,1
East Godavari,BW-EAS-00542,346.1,91.9,5.3,13.8,Sandy Loam,Coastal Andhra,670.3,1,66.9,2.91,9.1,2360,6.0,77.2,High,1
East Godavari,BW-EAS-00543,278.1,75.4,2.5,10.6,Sandy Clay,Coastal Andhra,480.7,0,50.8,2.22,4.4,2365,4.4,51.9,Medium,0
East Godavari,BW-EAS-00544,283.4,85.9,4.3,6.2,Sandy Clay,Coastal Andhra,562.6,1,47.7,1.85,0.0,2475,5.1,37.4,Medium,0
East Godavari,BW-EAS-00545,396.0,86.0,10.1,7.9,Sandy Clay,Coastal Andhra,615.2,2,58.9,4.85,8.7,2368,7.2,76.8,High,1
East Godavari,BW-EAS-00546,450.1,71.1,2.4,8.8,Sandy Clay,Coastal Andhra,437.5,0,52.5,2.36,6.5,2124,4.4,56.1,Medium,1
East Godavari,BW-EAS-00547,319.1,73.5,4.0,8.0,Sandy Loam,Coastal Andhra,748.3,0,55.5,3.5,3.7,2344,0,53.8,Medium,1
East Godavari,BW-EAS-00548,262.5,72.5,1.5,10.5,Sandy Clay,Coastal Andhra,597.3,2,54.5,1.18,13.2,2834,6.9,46.4,Medium,0
East Godavari,BW-EAS-00549,303.7,91.3,2.9,4.6,Sandy Clay,Coastal Andhra,319.5,2,52.0,1.95,8.4,2625,2.2,35.9,Medium,0
East Godavari,BW-EAS-00550,275.7,62.4,2.1,6.8,Sandy Loam,Coastal Andhra,385.0,4,55.5,3.63,9.2,2652,4.3,48.5,Medium,1
East Godavari,BW-EAS-00551,391.4,83.6,2.5,6.0,Sandy Loam,Coastal Andhra,517.1,1,54.6,0.1,10.5,2073,0,39.1,Medium,0
East Godavari,BW-EAS-00552,258.2,80.7,8.8,7.1,Sandy Loam,Coastal Andhra,500.4,1,58.7,6.09,5.9,2729,12.4,88.7,High,1
East Godavari,BW-EAS-00553,207.9,84.7,0.1,10.7,Sandy Clay,Coastal Andhra,544.2,3,55.5,0.1,10.2,2322,0,35.1,Medium,0
East Godavari,BW-EAS-00554,209.2,79.1,15.6,4.3,Sandy Loam,Coastal Andhra,445.7,3,69.5,6.22,6.0,3140,16.8,92.5,High,0
East Godavari,BW-EAS-00555,210.8,89.6,2.7,5.4,Sandy Clay,Coastal Andhra,569.0,3,50.1,2.28,2.1,2577,5.9,23.7,Low,0
East Godavari,BW-EAS-00556,383.5,78.2,3.2,7.2,Sandy Loam,Coastal Andhra,664.9,6,54.5,2.18,5.1,2371,2.5,48.8,Medium,0
East Godavari,BW-EAS-00557,210.7,86.9,8.3,9.8,Sandy Loam,Coastal Andhra,650.9,3,67.0,3.49,12.7,2533,6.2,79.9,High,0
East Godavari,BW-EAS-00558,355.9,79.2,28.7,4.9,Sandy Clay,Coastal Andhra,700.4,0,81.3,9.5,6.8,3348,30.8,100.0,High,0
East Godavari,BW-EAS-00559,269.9,77.3,11.9,7.9,Sandy Loam,Coastal Andhra,576.5,2,60.2,4.69,12.8,2633,10.3,79.8,High,1
East Godavari,BW-EAS-00560,211.0,80.1,0.6,6.3,Sandy Loam,Coastal Andhra,636.9,3,52.9,0.78,7.3,2665,0.3,25.9,Low,0
East Godavari,BW-EAS-00561,246.1,84.9,0.5,10.6,Sandy Loam,Coastal Andhra,683.2,1,56.7,1.07,12.7,2709,1.7,43.1,Medium,0
East Godavari,BW-EAS-00562,304.4,85.2,0.0,7.2,Sandy Clay,Coastal Andhra,447.7,0,49.3,0.63,16.8,2547,1.3,49.0,Medium,0
East Godavari,BW-EAS-00563,325.6,69.3,3.5,7.0,Sandy Loam,Coastal Andhra,489.6,0,63.0,1.88,6.7,2652,3.1,60.9,Medium,0
East Godavari,BW-EAS-00564,403.5,66.4,1.8,5.3,Sandy Clay,Coastal Andhra,444.2,2,52.8,0.94,14.3,2898,0,32.9,Low,0
East Godavari,BW-EAS-00565,382.5,67.2,5.3,16.1,Sandy Loam,Coastal Andhra,603.3,3,61.5,2.05,6.1,2622,4.1,51.8,Medium,0
East Godavari,BW-EAS-00566,370.4,77.6,2.6,10.7,Sandy Loam,Coastal Andhra,335.4,4,61.4,1.53,5.8,1993,0,39.0,Medium,0
East Godavari,BW-EAS-00567,272.1,68.5,5.6,7.8,Sandy Loam,Coastal Andhra,718.3,0,60.8,3.48,10.7,2821,7.8,76.5,High,1
East Godavari,BW-EAS-00568,324.0,73.8,0.0,7.3,Sandy Loam,Coastal Andhra,603.8,1,55.0,1.74,11.1,2850,0,39.3,Medium,0
East Godavari,BW-EAS-00569,332.0,69.2,15.3,6.5,Sandy Loam,Coastal Andhra,676.9,3,68.5,3.78,7.6,1884,14.5,88.7,High,1
East Godavari,BW-EAS-00570,336.6,60.7,1.8,6.5,Sandy Loam,Coastal Andhra,725.5,1,55.6,3.3,12.5,2911,2.0,57.7,Medium,1
East Godavari,BW-EAS-00571,199.2,74.3,0.4,9.0,Sandy Clay,Coastal Andhra,748.3,3,61.2,0.67,11.1,2522,0.5,34.8,Low,1
East Godavari,BW-EAS-00572,300.5,84.7,10.6,2.7,Sandy Clay,Coastal Andhra,577.3,2,55.9,5.7,9.3,2593,13.3,72.2,High,1
East Godavari,BW-EAS-00573,256.3,72.3,0.2,13.7,Sandy Loam,Coastal Andhra,471.9,0,58.8,0.77,8.9,2412,0.1,50.9,Medium,0
East Godavari,BW-EAS-00574,334.0,86.2,5.5,4.0,Sandy Loam,Coastal Andhra,671.9,1,56.7,3.1,15.7,2879,6.7,67.1,High,1
East Godavari,BW-EAS-00575,388.0,86.7,9.2,8.2,Sandy Clay,Coastal Andhra,554.1,2,59.8,5.79,7.8,2323,11.5,80.0,High,0
East Godavari,BW-EAS-00576,439.2,78.1,5.7,6.3,Sandy Loam,Coastal Andhra,350.2,1,43.0,2.38,4.2,2063,0.9,37.0,Medium,0
East Godavari,BW-EAS-00577,269.4,70.9,0.4,12.5,Sandy Loam,Coastal Andhra,745.8,4,58.7,1.08,2.7,2726,0,32.0,Low,1
East Godavari,BW-EAS-00578,400.1,64.9,0.1,9.1,Sandy Loam,Coastal Andhra,582.9,3,49.1,0.13,1.7,2359,0,12.4,Low,0
East Godavari,BW-EAS-00579,364.2,72.2,0.2,8.2,Sandy Clay,Coastal Andhra,671.5,1,55.7,2.39,8.6,2811,0.7,33.3,Low,1
East Godavari,BW-EAS-00580,419.1,85.8,20.1,9.2,Sandy Loam,Coastal Andhra,319.0,2,71.7,9.53,8.6,2466,23.7,100.0,High,1
East Godavari,BW-EAS-00581,290.0,84.3,1.9,8.7,Sandy Loam,Coastal Andhra,646.9,2,55.0,1.3,7.4,2949,0,37.5,Medium,1
East Godavari,BW-EAS-00582,440.3,85.7,6.6,6.2,Sandy Clay,Coastal Andhra,307.6,1,57.8,3.25,4.4,3046,6.5,59.8,Medium,0
East Godavari,BW-EAS-00583,144.9,68.8,3.2,7.4,Sandy Loam,Coastal Andhra,547.0,1,55.0,1.44,4.3,2613,4.5,39.0,Medium,1
East Godavari,BW-EAS-00584,229.4,85.6,4.0,7.6,Sandy Clay,Coastal Andhra,623.9,3,57.9,2.14,9.0,2632,3.2,46.2,Medium,0
East Godavari,BW-EAS-00585,303.2,64.2,7.3,4.0,Sandy Loam,Coastal Andhra,492.1,2,50.2,3.14,5.1,2886,7.8,50.7,Medium,0
East Godavari,BW-EAS-00586,334.3,69.9,7.1,6.4,Sandy Loam,Coastal Andhra,678.8,1,58.6,2.54,6.5,2824,8.0,60.7,Medium,0
East Godavari,BW-EAS-00587,122.4,72.4,15.7,17.0,Sandy Loam,Coastal Andhra,536.9,2,71.3,5.9,13.1,2835,12.2,100.0,High,1
East Godavari,BW-EAS-00588,423.6,72.7,5.5,11.8,Sandy Loam,Coastal Andhra,574.1,4,60.3,3.24,2.7,2806,2.3,56.6,Medium,1
East Godavari,BW-EAS-00589,300.6,74.0,22.3,11.0,Sandy Loam,Coastal Andhra,572.1,2,77.7,11.03,14.7,2207,22.5,100.0,High,1
East Godavari,BW-EAS-00590,283.1,73.3,21.7,5.9,Sandy Clay,Coastal Andhra,642.4,2,69.2,7.53,10.6,2502,20.8,100.0,High,1
East Godavari,BW-EAS-00591,338.5,65.9,3.6,10.9,Sandy Clay,Coastal Andhra,537.0,4,59.3,1.26,9.0,2860,0.3,43.6,Medium,0
East Godavari,BW-EAS-00592,160.2,76.5,3.7,4.9,Sandy Clay,Coastal Andhra,761.6,4,53.8,2.54,4.1,2688,6.3,46.5,Medium,1
East Godavari,BW-EAS-00593,321.6,75.3,4.5,10.0,Sandy Clay,Coastal Andhra,342.0,3,57.1,4.68,3.9,2744,11.3,62.8,Medium,0
East Godavari,BW-EAS-00594,267.2,79.7,3.4,7.7,Sandy Loam,Coastal Andhra,692.0,2,57.8,2.74,11.0,2335,3.0,49.3,Medium,1
East Godavari,BW-EAS-00595,287.3,72.2,5.7,4.2,Sandy Loam,Coastal Andhra,464.0,2,56.4,4.39,12.5,2757,5.9,48.0,Medium,0
East Godavari,BW-EAS-00596,288.9,71.6,4.9,2.3,Sandy Clay,Coastal Andhra,673.6,3,63.5,2.96,12.1,2628,3.6,59.3,Medium,1
East Godavari,BW-EAS-00597,462.2,80.1,0.4,10.4,Sandy Loam,Coastal Andhra,396.8,1,55.3,1.04,15.6,2166,2.1,63.7,Medium,1
East Godavari,BW-EAS-00598,399.7,88.1,8.7,10.5,Sandy Loam,Coastal Andhra,326.5,3,67.4,5.65,2.7,2377,8.3,86.9,High,1
East Godavari,BW-EAS-00599,395.7,73.0,21.3,7.3,Sandy Loam,Coastal Andhra,662.2,0,75.5,8.31,9.8,3199,21.0,100.0,High,1
East Godavari,BW-EAS-00600,197.0,68.7,14.2,11.6,Sandy Clay,Coastal Andhra,522.5,4,70.8,7.18,9.3,2120,13.5,100.0,High,1
East Godavari,BW-EAS-00601,494.9,80.0,5.6,5.3,Sandy Clay,Coastal Andhra,646.3,1,51.5,2.51,9.0,2900,5.5,55.7,Medium,0
East Godavari,BW-EAS-00602,425.4,77.3,8.4,5.3,Sandy Loam,Coastal Andhra,512.1,4,60.5,2.35,3.7,2836,7.6,58.5,Medium,0
East Godavari,BW-EAS-00603,196.2,77.5,4.9,10.2,Sandy Clay,Coastal Andhra,559.6,1,62.9,3.37,10.2,2724,3.2,60.6,Medium,0
East Godavari,BW-EAS-00604,328.5,81.9,1.4,8.5,Sandy Loam,Coastal Andhra,300,5,52.6,4.12,14.6,2990,2.3,41.8,Medium,1
East Godavari,BW-EAS-00605,348.4,71.9,14.4,6.1,Sandy Clay,Coastal Andhra,621.4,1,60.5,6.35,9.3,2580,13.1,91.9,High,0
East Godavari,BW-EAS-00606,251.6,83.1,3.5,2.5,Sandy Loam,Coastal Andhra,491.3,0,52.9,2.3,11.0,2551,2.7,51.4,Medium,0
East Godavari,BW-EAS-00607,325.2,90.6,2.8,4.1,Sandy Loam,Coastal Andhra,780.1,2,63.3,2.41,13.0,2755,2.3,49.2,Medium,1
East Godavari,BW-EAS-00608,263.2,69.4,0.1,4.6,Sandy Loam,Coastal Andhra,608.2,1,45.6,0.1,10.7,2250,1.7,25.5,Low,0
East Godavari,BW-EAS-00609,300.1,84.4,8.5,11.9,Sandy Loam,Coastal Andhra,488.7,2,63.9,3.08,5.6,2544,5.3,64.1,Medium,1
East Godavari,BW-EAS-00610,353.4,84.5,12.1,7.9,Sandy Loam,Coastal Andhra,617.7,3,64.6,4.45,4.1,2981,11.5,76.9,High,1
East Godavari,BW-EAS-00611,273.6,89.5,1.5,11.6,Sandy Loam,Coastal Andhra,485.1,2,58.0,3.41,17.7,2298,2.6,59.2,Medium,1
East Godavari,BW-EAS-00612,259.4,84.9,9.5,8.0,Sandy Loam,Coastal Andhra,456.4,2,61.1,5.62,13.2,2400,11.2,90.7,High,1
East Godavari,BW-EAS-00613,162.3,68.5,2.6,8.6,Sandy Loam,Coastal Andhra,536.9,2,60.0,1.26,6.0,3098,2.0,49.1,Medium,0
East Godavari,BW-EAS-00614,484.4,81.6,13.2,9.9,Sandy Loam,Coastal Andhra,575.0,2,69.4,6.61,15.7,2445,11.3,100.0,High,1
East Godavari,BW-EAS-00615,174.7,76.9,20.4,8.5,Sandy Loam,Coastal Andhra,519.5,3,76.5,8.54,10.8,1839,22.3,100.0,High,1
East Godavari,BW-EAS-00616,401.5,71.1,4.9,9.2,Sandy Loam,Coastal Andhra,463.6,4,58.8,4.21,8.1,2338,3.5,55.5,Medium,0
Konaseema,BW-KON-00617,311.7,5.0,14.5,2.5,Sandy Clay,Coastal Andhra,589.4,1,63.0,5.26,10.5,2919,13.6,100.0,High,1
Konaseema,BW-KON-00618,242.5,10.4,10.3,3.3,Sandy Clay,Coastal Andhra,562.2,1,59.6,2.88,6.8,3185,12.8,74.9,High,0
Konaseema,BW-KON-00619,412.7,5.0,3.9,7.1,Sandy Clay,Coastal Andhra,475.2,1,66.7,2.49,10.3,3010,6.2,59.5,Medium,0
Konaseema,BW-KON-00620,317.4,5.0,10.8,2.7,Sandy Loam,Coastal Andhra,568.4,3,62.1,4.93,13.9,2419,14.2,87.6,High,1
Konaseema,BW-KON-00621,169.1,21.3,0.4,10.1,Sandy Clay,Coastal Andhra,805.2,0,58.0,1.28,4.9,3016,0,31.1,Low,0
Konaseema,BW-KON-00622,240.8,17.5,1.1,4.6,Sandy Clay,Coastal Andhra,678.7,1,54.8,0.26,7.4,2744,1.6,39.3,Medium,0
Konaseema,BW-KON-00623,410.4,8.7,5.1,13.0,Sandy Clay,Coastal Andhra,748.7,2,66.8,3.29,13.1,3260,6.7,74.5,High,1
Konaseema,BW-KON-00624,302.9,12.8,1.8,15.4,Sandy Clay,Coastal Andhra,571.8,1,59.5,2.36,7.5,2888,4.4,60.9,Medium,1
Konaseema,BW-KON-00625,290.7,27.4,19.4,6.9,Sandy Loam,Coastal Andhra,607.0,6,80.6,6.5,11.6,2732,20.5,100.0,High,1
Konaseema,BW-KON-00626,326.3,17.9,17.4,9.9,Sandy Loam,Coastal Andhra,442.3,6,68.6,5.92,1.2,2987,14.5,91.3,High,0
Konaseema,BW-KON-00627,193.3,15.3,8.4,1.7,Sandy Loam,Coastal Andhra,557.0,2,57.8,2.08,7.5,2289,8.6,52.2,Medium,1
Konaseema,BW-KON-00628,116.4,5.0,5.8,12.6,Sandy Clay,Coastal Andhra,599.3,5,52.7,2.57,6.9,3089,4.3,50.4,Medium,0
Konaseema,BW-KON-00629,306.1,13.8,2.7,8.9,Sandy Clay,Coastal Andhra,761.3,2,65.6,0.1,13.5,3416,1.7,50.8,Medium,0
Konaseema,BW-KON-00630,314.1,5.0,2.8,9.5,Sandy Loam,Coastal Andhra,492.7,3,57.1,4.0,3.2,2591,4.4,38.8,Medium,0
Konaseema,BW-KON-00631,202.6,16.6,0.1,14.1,Sandy Clay,Coastal Andhra,420.1,3,63.6,0.72,13.3,2752,0,43.1,Medium,1
Konaseema,BW-KON-00632,378.1,21.2,1.7,6.5,Sandy Loam,Coastal Andhra,507.1,2,55.5,2.55,7.9,2745,3.6,42.4,Medium,0
Konaseema,BW-KON-00633,382.8,28.2,22.6,8.2,Sandy Clay,Coastal Andhra,463.7,6,80.0,10.48,11.8,2526,22.1,100.0,High,1
Konaseema,BW-KON-00634,203.5,8.1,10.8,1.8,Sandy Loam,Coastal Andhra,781.6,2,57.1,5.47,10.4,2940,10.5,73.2,High,1
Konaseema,BW-KON-00635,382.7,18.9,0.3,10.0,Sandy Clay,Coastal Andhra,524.9,2,60.0,0.55,7.6,2674,0,38.8,Medium,0
Konaseema,BW-KON-00636,275.7,13.5,1.9,7.2,Sandy Clay,Coastal Andhra,472.3,1,67.6,3.05,9.9,2666,4.7,66.5,High,1
Konaseema,BW-KON-00637,234.9,14.8,1.1,7.1,Sandy Loam,Coastal Andhra,728.9,2,59.8,1.7,6.5,3000,0,34.8,Low,1
Konaseema,BW-KON-00638,244.6,17.7,1.9,4.8,Sandy Clay,Coastal Andhra,529.1,4,52.6,0.62,6.2,2410,0.0,16.0,Low,0
Konaseema,BW-KON-00639,327.2,15.6,1.8,2.1,Sandy Clay,Coastal Andhra,813.2,2,47.4,1.36,9.6,2628,0.3,26.4,Low,0
Konaseema,BW-KON-00640,138.4,12.9,0.7,8.5,Sandy Loam,Coastal Andhra,300,0,57.2,2.53,11.2,1934,0,45.5,Medium,0
Konaseema,BW-KON-00641,438.2,22.4,1.6,2.4,Sandy Clay,Coastal Andhra,587.3,0,52.7,2.01,8.7,2834,0.5,31.4,Low,0
Konaseema,BW-KON-00642,240.5,13.4,3.1,6.9,Sandy Loam,Coastal Andhra,578.4,2,53.5,2.87,6.8,3171,0.8,40.4,Medium,1
Konaseema,BW-KON-00643,399.8,15.4,8.8,6.7,Sandy Clay,Coastal Andhra,543.6,1,65.6,3.74,14.4,2991,11.8,87.2,High,1
Konaseema,BW-KON-00644,409.3,9.3,1.6,4.0,Sandy Clay,Coastal Andhra,538.4,3,51.5,1.47,7.9,2905,0.9,18.3,Low,0
Konaseema,BW-KON-00645,327.7,5.6,8.7,11.5,Sandy Loam,Coastal Andhra,733.4,1,67.4,3.55,7.5,2547,6.5,81.7,High,1
Konaseema,BW-KON-00646,268.4,5.0,0.8,7.6,Sandy Loam,Coastal Andhra,407.1,0,51.5,1.87,5.1,2727,0,42.6,Medium,0
Konaseema,BW-KON-00647,281.7,21.3,2.7,6.0,Sandy Loam,Coastal Andhra,444.8,0,54.8,2.05,7.6,3051,3.3,46.7,Medium,0
Konaseema,BW-KON-00648,266.6,17.3,13.2,10.9,Sandy Loam,Coastal Andhra,515.8,1,62.3,5.43,0.0,2655,11.8,89.9,High,1
Konaseema,BW-KON-00649,230.4,10.6,25.6,5.3,Sandy Loam,Coastal Andhra,636.6,3,78.3,8.74,5.2,2528,25.3,100.0,High,1
Konaseema,BW-KON-00650,306.6,5.0,5.6,11.4,Sandy Clay,Coastal Andhra,467.7,3,53.7,1.72,9.1,3147,3.7,43.2,Medium,0
Konaseema,BW-KON-00651,287.2,10.0,3.2,12.4,Sandy Clay,Coastal Andhra,428.8,1,58.8,2.91,5.3,2840,3.7,44.5,Medium,0
Konaseema,BW-KON-00652,144.3,5.0,0.3,8.9,Sandy Loam,Coastal Andhra,663.2,3,54.4,2.15,5.0,2911,2.4,25.4,Low,0
Konaseema,BW-KON-00653,324.5,25.9,21.3,5.1,Sandy Loam,Coastal Andhra,601.2,6,63.9,6.97,13.5,2968,20.7,100.0,High,1
Konaseema,BW-KON-00654,321.6,17.8,6.8,14.0,Sandy Clay,Coastal Andhra,578.1,2,66.8,3.24,12.5,3166,9.2,80.4,High,1
Konaseema,BW-KON-00655,245.2,11.1,0.6,10.8,Sandy Clay,Coastal Andhra,723.9,1,55.7,0.18,5.2,2979,0,35.3,Medium,0
Konaseema,BW-KON-00656,217.1,8.8,13.5,12.1,Sandy Loam,Coastal Andhra,691.7,2,73.1,5.84,12.3,2511,15.3,100.0,High,1
Konaseema,BW-KON-00657,391.3,11.7,0.8,4.5,Sandy Loam,Coastal Andhra,539.0,4,56.7,1.18,12.7,2536,2.1,29.2,Low,0
